Message,Date
BUY BANKNIFTY 51500 PE NEAR 390400 TARGET 2570100200250 Point SL EXPIRY 4TH SEP,2024-08-29 04:37:26+00:00
ALBERTDAVD Buy Near 1617 Add More Near 1536 Target 1 1778 Target 2 1940 Target 3 2102 Stoploss At 1455,2024-08-29 04:34:37+00:00
GENESYS Buy Near 7931 Add More Near 7535 Target 1 8724 Target 2 9517 Target 3 1031 Stoploss At 7138,2024-08-29 04:21:40+00:00
BUY BANKNIFTY 51600 PE ABOVE 450460 TARGET 2570100200250 Point SL EXPIRY 28 AUG MONTHLY EXPIRY,2024-08-28 04:10:00+00:00
OPTION BUYING VIEW REC 590CE 11 to 14 3 Points View Achieved,2024-08-27 06:07:31+00:00
OPTION BUYING REC 590CE CMP 11 SUPPORT 3 Points VIEW 37 Points,2024-08-27 04:53:15+00:00
CASTROLIND Buy Near 2792 Add More Near 2652 Target 1 3071 Target 2 3351 Target 3 3630 Stoploss At 2513,2024-08-27 04:24:22+00:00
ROSSARI Buy Near 9450 Add More Near 8978 Target 1 1039 Target 2 1134 Target 3 1228 Stoploss At 8505,2024-08-26 08:28:58+00:00
BLS Buy Near 4289 Add More Near 4075 Target 1 4718 Target 2 5147 Target 3 5576 Stoploss At 3860,2024-08-26 05:51:41+00:00
INDHOTEL Buy Near 6668 Add More Near 6335 Target 1 7335 Target 2 8002 Target 3 8669 Stoploss At 6001,2024-08-26 05:31:54+00:00
INDIANHUME Buy Near 5500 Add More Near 5225 Target 1 6050 Target 2 6600 Target 3 7150 Stoploss At 4950,2024-08-26 04:32:08+00:00
NIFTY TO OPEN 18 PTS GAP DOWN,2024-08-21 04:12:38+00:00
BUY BANKNIFTY 50300 CE ABOVE 405415 TARGET 3070100200250 Point EXPIRY 21st AUG,2024-08-21 03:52:13+00:00
Market Ends Flat In A Rangebound Session Nifty Below 24600 Midcap Index Ends With Minor Gains While Nifty Bank Closes In The Red Sensex Falls 12 Points To 80425 While Nifty Rises 31 Points To 24573 Nifty Bank Falls 149 Points To 50368 While Midcap Index Gains 105 Points To 57761 Metal Stocks Rise Following The Move In Commodity Prices Globally Stocks Up 24,2024-08-19 10:10:55+00:00
INDEX VIEW NIFTY 24000CE CMP 445450 SUPPORT 400 VIEW 490500 WEEKLY,2024-08-19 05:30:52+00:00
Wait For Market To Cross 375 Level Till Wait Watch,2024-08-19 03:55:32+00:00
BUY BANKNIFTY 51000 PE 440 TO 528 TRG1 485 TRG2 528 HIT TRG2 440 TO 528 TOTAL GAIN 78 POINT RR 12 DONE,2024-08-19 03:54:24+00:00
BANKNIFTY 50600 CE ABOVE 375 Only SL in premium TRT 410450500,2024-08-19 03:50:46+00:00
BUY BANKNIFTY 51000 PE ABOVE 440445 TARGET 3070100200250 Point SL in premium EXPIRY 21st AUG,2024-08-19 03:50:46+00:00
Need Banknifty OptionSureshot Calls Need To Recover Your Old Losses Need Proper Target And SL Need Accuracy Need AssistanceFrom Entry Till Exit 5 Problems 1 Solution PAID GROUP ADMIN You Are At The Right Place What are you waiting for PAY HERE TO JOIN WEEKLY PLAN httpscosmofeedcomps66c222982a7ed00013ee03eb httpscosmofeedcomps66c222982a7ed00013ee03eb,2024-08-18 16:37:45+00:00
OPTION BUYING HERO MOTOR 5200PE CMP 205206 SUPPORT 170 VIEW 230250,2024-08-16 05:49:02+00:00
BNIFTY RESISTANCE EXACTLY FROM the zone posted,2024-08-16 05:41:54+00:00
BUY BANKNIFTY 50200 CE 480 TO 515 TRG1 510 HIT TRG1 480 TO 515 TOTAL GAIN 35 POINT RR 11 DONE,2024-08-13 05:24:14+00:00
BUY NIFTY 24200 CE ABOVE 185 Target 215 250 290 EXPIRY 14TH AUGUST,2024-08-13 04:07:47+00:00
UNITED SPIRITS Below 1415 SL 1425 TGTS 1407139713881380 NEgative Rsi divergence in stock breakdown below midpoint of channel Downmove likely to continue,2024-08-13 04:04:48+00:00
BUY FINNIFTY 23050 PE ABOVE 100120 SSL 80 TGT 150180240 EXPIRY 13 AUGUST,2024-08-13 04:01:14+00:00
BUY BANKNIFTY 50200 CE ABOVE 480490 TARGET 3070100200250 Point EXPIRY 14TH AUG,2024-08-13 03:55:04+00:00
NIFTY24200PE 127 TGT1 Hit,2024-08-12 05:21:57+00:00
NIFTY24200PE Above 115 SL 95 TGTS 125140 155170,2024-08-12 04:21:16+00:00
TRENT Above 6325 SL 6300 TGTS 6340635563756395 Hold Few Days STRONG buying in session and gud breakout on last session Upmove likely to continue,2024-08-12 04:08:02+00:00
OFSS Above 10590 SL 10560 TGTS 10610106301065510680 Hold Few Days GUD movement in stock in last session Upmove likely to continue,2024-08-12 04:07:29+00:00
BATA Below 1435 SL 1450 TGTS 1425141614071397 STOCK standing at support and consolidating IF breaks and sustains below 1435 then downmove likely to continue,2024-08-12 04:06:50+00:00
Adani Stock Recover From Lows,2024-08-12 04:06:26+00:00
US ELECTIONS In the US there may be a civil riot The tension between Israel and Iran may magnify In India there may be some civil riot and uncovering of a financial scam in the stock market,2024-08-10 09:09:22+00:00
BUY BANKNIFTY 50500 PE 405 TO 760 TRG1 430 TRG2 475 TRG3 505 TRG4 605 TRG5 655 HIT ALL TRG 405 TO 760 TOTAL GAIN 355 POINT RR 112 DONE,2024-08-07 05:52:46+00:00
BUYPOLYCAB FUTURE NEAR 65456550 TARGET 65606600 EXPIRY AUG,2024-08-07 04:42:48+00:00
BUY BANKNIFTY 50500 PE NEAR 405415 TARGET 2570100200250 Point EXPIRY 7TH AUG,2024-08-07 04:04:53+00:00
Tech View Nifty downtrend may continue though with lesser speed Nifty gave up early gains on Aug 06 to end in the negative In the process it formed a pattern known as Bearish side by side black candle This could mean continuation of the downtrend though with lesser speed Nifty could head towards 23667 on breach of the support of 23894 while 24383 could offer resistance on the upside in the near term,2024-08-06 15:01:54+00:00
LUPIN Above 1960 SL 1947 TGTS 1968197819902000 Hold Few Days PHARMA SECTOR positive Yesterday in such negative market stock gave gap down opening and made openlow candle Upmove likely to continue,2024-08-06 05:54:29+00:00
Let Market Settle By Mid Noon,2024-08-05 06:31:26+00:00
